assemblydist,address,boro_name,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
79,345 East 153rd Street,Bronx,201,15,17,Melrose Houses Community Garden (NYCHA Melrose Houses),NYCHA,"MULTIPOLYGON (((-73.91843008455554 40.8214270228906, -73.91852664370919 40.82122404631729, -73.91852127962812 40.82120780837691, -73.91819941424696 40.82113067719454, -73.91809749032085 40.821353951379514, -73.91843008455554 40.8214270228906)))",10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,Closed,1:00 P.M- 4:00 P.M,10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,Closed,XGT092,40,29,Active,10451
78,"419 Botanical Square S, The Bronx, NY 10",Bronx,207,15,11,Botanical Square Community Garden,MTA,"MULTIPOLYGON (((-73.88217370142452 40.86732503029345, -73.88216147181667 40.867211197701856, -73.88196655975776 40.86731700054009, -73.88204180311763 40.86739688338553, -73.88210318023297 40.86736356675909, -73.88216191783624 40.867331682785, -73.88216559634981 40.86732960550971, -73.88217370142452 40.86732503029345)))",,,,,,,,XGT084,52,33,Not GreenThumb,10458
81,3101 Kingsbridge Terrace,Bronx,208,13,14,Kingsbridge Heights Community Garden,PRI,"MULTIPOLYGON (((-73.90140059439999 40.87750678865047, -73.90126029414523 40.87743367605445, -73.90109163521333 40.87760294310968, -73.90109605342045 40.87760524494107, -73.90118019263048 40.87764908973019, -73.90123737454152 40.8776788880948, -73.90125712305009 40.87765809381943, -73.90138478463034 40.87752366559257, -73.90140059439999 40.87750678865047)))",,,,,,,,XGT041,50,31,Not GreenThumb,10463
84,685 Beck Street,Bronx,202,14,17,The William Rainey Garden,BLT,"MULTIPOLYGON (((-73.90123466478813 40.815221554418954, -73.90108680806523 40.814903837489844, -73.90097952039821 40.81493428757501, -73.90111899483652 40.815250960979476, -73.90123466478813 40.815221554418954)))",1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,XGT040,41,29,Active,10455
86,2387 Davidson Avenue,Bronx,207,13,14,Davidson Avenue Community Garden,BLT,"MULTIPOLYGON (((-73.90373973075243 40.8613901621183, -73.90342039857265 40.86127602014005, -73.90334464239577 40.861400626001036, -73.90366398215774 40.861514769993356, -73.90373973075243 40.8613901621183)))",,,,9:00 a.m. to 2:00 p.m.,8:00 a.m. to 11:00 p.m.,8:00 a.m. to 11:00 p.m.,8:00 a.m. to 11:00 p.m.,XGT024,52,31,Active,10468
79,724 Courtlandt Avenue,Bronx,201,15,17,NYRP Members Garden (Dalia Group),NYRP,"MULTIPOLYGON (((-73.91709821469088 40.820850381126775, -73.9174398235117 40.82093975826893, -73.91746963257981 40.82087425948158, -73.91712802642482 40.820784883328955, -73.91709821469088 40.820850381126775)))",,,,,,,,XGT016,40,29,Active,10455
84,360 E. 151st Street,Bronx,201,15,17,Neighborhood Advisory Committee Community Garden,BLT,"MULTIPOLYGON (((-73.91831706203502 40.81774807615763, -73.91848840117908 40.81779154643422, -73.91855854705494 40.81763340839841, -73.9185925251908 40.81755679919813, -73.91862643903048 40.81748036283697, -73.91854064121843 40.817458596674015, -73.91845509822679 40.817436892761584, -73.91831706203502 40.81774807615763)))",,,,,,,,XGT015,40,29,Active,10455
87,1636 Castle Hill Avenue,Bronx,210,14,18,Glover Street Community Garden,NYRP,"MULTIPOLYGON (((-73.85246200844792 40.83856049832442, -73.85246455763766 40.8385615803779, -73.85246738664638 40.838562128795864, -73.85247030703077 40.838562107317514, -73.85247312196203 40.838561518392524, -73.85247564283127 40.838560400500896, -73.85247770347546 40.838558829071744, -73.85247916375096 40.83855690928375, -73.85247992615035 40.83855476798188, -73.85247993936616 40.83855255098076, -73.85247568249902 40.83853181794842, -73.85245204753801 40.83841668287585, -73.8524335269332 40.83831952191174, -73.85240451495059 40.83834019166679, -73.85240003793473 40.83834067760773, -73.85229261430706 40.838429298253345, -73.8522819651754 40.83843808334941, -73.85238277261087 40.838506623898425, -73.85246200844792 40.83856049832442)))",,,,,,,,XGT011,45,34,Active,10462
83,3634 Eastchester Road,Bronx,212,16,12,Eastchester Road Community Garden,NYRP,"MULTIPOLYGON (((-73.84881294474229 40.88193242276401, -73.84876162157006 40.8818106536836, -73.84872362789923 40.88181997256711, -73.8482217135913 40.88160750354114, -73.84817929194044 40.88166418388913, -73.84821198030853 40.88167802235898, -73.84827515715737 40.88170476707534, -73.84833939846547 40.88173196159864, -73.84841457074951 40.88176378274223, -73.84848193901908 40.88179230140789, -73.84854117374073 40.881817376700766, -73.84859508645546 40.88184019916488, -73.8486550537844 40.88186558512791, -73.84870908037016 40.88188845451311, -73.8487670920179 40.88191301210657, -73.84877630665525 40.88191691248715, -73.84881294474229 40.88193242276401)))",9:00 a.m. to Noon; 3:00 p.m. to 5:30 p.m. ; 5:00 p.m. to 7:00 p.m.,,9:30 a.m. to 3:30 p.m.,10:00 a.m. to 1:30 p.m.,9:00 a.m. to Noon,9:00 a.m. to Noon,9:00 a.m. to Noon,XGT002,47,36,Active,10466
85,972 Simpson Street,Bronx,202,14,17,Black Joy Farm,DPR,"MULTIPOLYGON (((-73.89237125748325 40.82192773339388, -73.89237576891898 40.82204142530513, -73.89277212159884 40.82203300300868, -73.89276760948657 40.821919311112765, -73.89237125748325 40.82192773339388)))",12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,,12:00 p.m. - 5:00 p.m.,,,12:00 p.m. - 5:00 p.m.,X365-GT001,41,32,Active,10459
